,chocolate,coconut,loaf,bread,pasta,cake,pastry,crackers,muffin,cereal,muesli,liquor,sake,wine,cider,brew,beer,aperitif,coffee,cocoa,water,juice,lime_juice,grape_juice,orange_juice,cola,coke,gingerale,apple,apricot,avocado,banana,kiwi,mango,orange,tomato,artichoke,corn,cucumber,onion,squash,chips,potato_chips,jelly,peanut_butter,ketchup,chilisauce,mustard,salsa,soy_sauce
0,peanut_butter: 0.9593446850776672,peanut_butter: 0.950772762298584,cake: 0.8508633375167847,liquor: 0.8355428576469421,sake: 0.880675196647644,peanut_butter: 0.9242374897003174,coconut: 0.8600417971611023,pastry: 0.8596134185791016,pastry: 0.84236079454422,apple: 0.8655903935432434,cake: 0.8898298144340515,water: 0.8473065495491028,water: 0.9112886190414429,soy_sauce: 0.8839470148086548,pastry: 0.7990180850028992,coconut: 0.8644892573356628,ketchup: 0.8229626417160034,cucumber: 0.8579326868057251,peanut_butter: 0.8865888714790344,chocolate: 0.8437612056732178,sake: 0.9112886190414429,orange: 0.9127636551856995,sake: 0.8377353549003601,jelly: 0.803744375705719,banana: 0.8912916779518127,apricot: 0.862099289894104,lime_juice: 0.7925363779067993,cider: 0.19328607618808746,banana: 0.8756402730941772,cola: 0.862099289894104,apricot: 0.8612303137779236,peanut_butter: 0.9129514098167419,tomato: 0.8692028522491455,coconut: 0.8762246966362,juice: 0.9127636551856995,onion: 0.928170919418335,onion: 0.8572980761528015,onion: 0.8471172451972961,aperitif: 0.8579326868057251,tomato: 0.928170919418335,pasta: 0.8723715543746948,chocolate: 0.9130357503890991,muesli: 0.7991559505462646,pastry: 0.8210787177085876,chocolate: 0.9593446850776672,salsa: 0.8753123879432678,corn: -0.1455167829990387,soy_sauce: 0.8537922501564026,ketchup: 0.8753123879432678,wine: 0.8839470148086548
1,coconut: 0.9270321130752563,chocolate: 0.9270321130752563,muesli: 0.8480366468429565,kiwi: 0.8209079504013062,water: 0.8738828301429749,chocolate: 0.9149607419967651,crackers: 0.8596134185791016,artichoke: 0.8165492415428162,apple: 0.8417697548866272,apricot: 0.8583269715309143,coffee: 0.8701487183570862,sake: 0.8375657200813293,peanut_butter: 0.8954652547836304,tomato: 0.857681155204773,sake: 0.7534041404724121,peanut_butter: 0.8485065698623657,sake: 0.8195779919624329,cake: 0.8432371616363525,chocolate: 0.8813149333000183,peanut_butter: 0.8413070440292358,pasta: 0.8738828301429749,banana: 0.8789765238761902,onion: 0.8350788950920105,sake: 0.7943547964096069,peanut_butter: 0.8844953775405884,kiwi: 0.8155304193496704,ketchup: 0.7430977821350098,jelly: 0.15305933356285095,cereal: 0.8655903935432434,avocado: 0.8612303137779236,salsa: 0.8408094048500061,coconut: 0.9111388325691223,sake: 0.8563920855522156,peanut_butter: 0.8367466926574707,banana: 0.8873198628425598,kiwi: 0.8692028522491455,tomato: 0.822043240070343,tomato: 0.8452876210212708,onion: 0.8457001447677612,sake: 0.8812007904052734,tomato: 0.8394927382469177,peanut_butter: 0.8901959657669067,chips: 0.7962207198143005,apricot: 0.8048473596572876,coconut: 0.950772762298584,pasta: 0.85811448097229,salsa: -0.18420422077178955,onion: 0.8401878476142883,pasta: 0.866593599319458,onion: 0.8799866437911987
2,cake: 0.9149607419967651,banana: 0.9111388325691223,pastry: 0.8443835973739624,sake: 0.8160614371299744,squash: 0.8723715543746948,coconut: 0.8956678509712219,loaf: 0.8443835973739624,cake: 0.8086642026901245,loaf: 0.825648844242096,peanut_butter: 0.8447271585464478,peanut_butter: 0.8570024371147156,bread: 0.8355428576469421,onion: 0.8812007904052734,onion: 0.8412114977836609,jelly: 0.7434723973274231,coffee: 0.8282118439674377,juice: 0.7925028204917908,peanut_butter: 0.8403618931770325,muesli: 0.8701487183570862,liquor: 0.8151320219039917,soy_sauce: 0.8690111041069031,tomato: 0.8620570302009583,ketchup: 0.8307611346244812,water: 0.7871127128601074,chocolate: 0.8797774910926819,tomato: 0.8091932535171509,beer: 0.7299992442131042,orange: 0.13379840552806854,pastry: 0.8429718613624573,cereal: 0.8583269715309143,banana: 0.7946208119392395,orange_juice: 0.8912916779518127,cake: 0.8301988840103149,wine: 0.8274434208869934,sake: 0.8426413536071777,juice: 0.8620570302009583,crackers: 0.8165492415428162,sake: 0.8345851898193359,wine: 0.8331621289253235,soy_sauce: 0.8799866437911987,salsa: 0.8332192897796631,orange_juice: 0.8466873168945312,coconut: 0.7952525615692139,grape_juice: 0.803744375705719,cake: 0.9242374897003174,sake: 0.8504490852355957,squash: -0.1856091171503067,sake: 0.835721492767334,avocado: 0.8408094048500061,water: 0.8690111041069031
3,chips: 0.9130357503890991,cake: 0.8956678509712219,muffin: 0.825648844242096,cake: 0.8137134313583374,salsa: 0.866593599319458,muesli: 0.8898298144340515,apple: 0.8429718613624573,muesli: 0.8014496564865112,cake: 0.8011269569396973,orange: 0.8396314978599548,loaf: 0.8480366468429565,apple: 0.8254827857017517,pasta: 0.880675196647644,cucumber: 0.8331621289253235,apple: 0.7361485362052917,chocolate: 0.8137295246124268,water: 0.7881854176521301,coconut: 0.8257905840873718,coconut: 0.8612481355667114,sake: 0.7970094084739685,onion: 0.8564395904541016,orange_juice: 0.8610891699790955,tomato: 0.8236735463142395,beer: 0.7706553936004639,juice: 0.8610891699790955,soy_sauce: 0.7737119197845459,tomato: 0.7278457283973694,grape_juice: 0.10626821964979172,muffin: 0.8417697548866272,chips: 0.8246053457260132,crackers: 0.7946076989173889,chocolate: 0.8887275457382202,squash: 0.8278253078460693,coffee: 0.8261730074882507,orange_juice: 0.8411518931388855,wine: 0.857681155204773,salsa: 0.8156987428665161,orange: 0.8223472833633423,mustard: 0.8138420581817627,pasta: 0.863290011882782,kiwi: 0.8278253078460693,cake: 0.8424112796783447,cake: 0.7806401252746582,corn: 0.8010314106941223,banana: 0.9129514098167419,onion: 0.8312433362007141,ketchup: -0.20624199509620667,water: 0.8153730034828186,squash: 0.8332192897796631,mustard: 0.8537922501564026
4,banana: 0.8887275457382202,mango: 0.8762246966362,cucumber: 0.8108847737312317,water: 0.8016125559806824,onion: 0.863290011882782,sake: 0.8733447790145874,muffin: 0.84236079454422,brew: 0.799504280090332,banana: 0.7944347262382507,coconut: 0.8343268036842346,coconut: 0.8469325304031372,muesli: 0.8225254416465759,cake: 0.8733447790145874,mango: 0.8274434208869934,liquor: 0.7340383529663086,cake: 0.8092829585075378,tomato: 0.7861979007720947,soy_sauce: 0.8242351412773132,cake: 0.8294702768325806,orange_juice: 0.7953119277954102,liquor: 0.8473065495491028,sake: 0.8078216910362244,pasta: 0.8175160884857178,ketchup: 0.7699824571609497,chips: 0.8466873168945312,chocolate: 0.7620799541473389,sake: 0.7271395325660706,juice: 0.10423992574214935,liquor: 0.8254827857017517,orange: 0.8231881856918335,brew: 0.7772409915924072,orange: 0.8873198628425598,water: 0.8233967423439026,chocolate: 0.7947089076042175,cereal: 0.8396314978599548,pasta: 0.8489034175872803,pastry: 0.8124170899391174,apricot: 0.8036293983459473,loaf: 0.8108847737312317,artichoke: 0.8572980761528015,water: 0.8014349341392517,orange: 0.8382328748703003,loaf: 0.780203640460968,tomato: 0.7956812381744385,sake: 0.8954652547836304,lime_juice: 0.8307611346244812,brew: -0.2068500518798828,tomato: 0.8151185512542725,tomato: 0.8194814920425415,sake: 0.8450515866279602
5,coffee: 0.8813149333000183,brew: 0.8644892573356628,potato_chips: 0.780203640460968,apricot: 0.790374219417572,ketchup: 0.85811448097229,banana: 0.8615155816078186,cake: 0.8395000100135803,coconut: 0.7970665097236633,sake: 0.7674337029457092,banana: 0.8329929709434509,chocolate: 0.8407071232795715,cocoa: 0.8151320219039917,banana: 0.8721610903739929,mustard: 0.8137774467468262,tomato: 0.7227163910865784,apricot: 0.8031498789787292,pasta: 0.7752110958099365,kiwi: 0.8200845122337341,brew: 0.8282118439674377,cake: 0.7880457639694214,peanut_butter: 0.8359381556510925,water: 0.80638188123703,juice: 0.7966305017471313,pastry: 0.7552037239074707,coconut: 0.8459128141403198,avocado: 0.756960391998291,apricot: 0.7267746329307556,chips: 0.09985985606908798,coconut: 0.8098651170730591,peanut_butter: 0.8217081427574158,orange: 0.7757161855697632,juice: 0.8789765238761902,pasta: 0.8233557939529419,soy_sauce: 0.7939791679382324,chips: 0.8382328748703003,corn: 0.8452876210212708,sake: 0.7956051826477051,jelly: 0.8010314106941223,tomato: 0.805307924747467,water: 0.8564395904541016,juice: 0.7984071373939514,sake: 0.8309524655342102,peanut_butter: 0.7664908170700073,kiwi: 0.7953396439552307,chips: 0.8901959657669067,beer: 0.8229626417160034,gingerale: -0.21445158123970032,cucumber: 0.8138420581817627,artichoke: 0.8156987428665161,tomato: 0.8366950154304504
6,orange_juice: 0.8797774910926819,coffee: 0.8612481355667114,crackers: 0.765414297580719,orange_juice: 0.7778730392456055,tomato: 0.8489034175872803,loaf: 0.8508633375167847,sake: 0.8391237854957581,avocado: 0.7946076989173889,coconut: 0.7610895037651062,sake: 0.8318141102790833,liquor: 0.8225254416465759,peanut_butter: 0.8113886117935181,kiwi: 0.8563920855522156,aperitif: 0.8083154559135437,corn: 0.7196020483970642,crackers: 0.799504280090332,grape_juice: 0.7706553936004639,sake: 0.813932478427887,mango: 0.8261730074882507,coffee: 0.7672826051712036,banana: 0.8352687358856201,apple: 0.8027010560035706,coke: 0.7925363779067993,orange: 0.7343968749046326,orange: 0.8411518931388855,peanut_butter: 0.7544229626655579,cereal: 0.7254759073257446,muffin: 0.08643191307783127,juice: 0.8027010560035706,orange_juice: 0.8081852793693542,apple: 0.7741520404815674,apple: 0.8756402730941772,onion: 0.8218831419944763,aperitif: 0.7933986783027649,coconut: 0.8343122005462646,sake: 0.8433555364608765,corn: 0.7618323564529419,salsa: 0.788875162601471,apricot: 0.8048986196517944,corn: 0.8471172451972961,sake: 0.7950316667556763,coconut: 0.830299437046051,coffee: 0.7579533457756042,wine: 0.7938920855522156,coffee: 0.8865888714790344,tomato: 0.8205901384353638,cider: -0.21537339687347412,wine: 0.8137774467468262,onion: 0.8126806616783142,pasta: 0.8258668780326843
7,sake: 0.8534445762634277,pastry: 0.8600417971611023,sake: 0.7643445134162903,banana: 0.7711617946624756,soy_sauce: 0.8258668780326843,aperitif: 0.8432371616363525,jelly: 0.8210787177085876,apple: 0.7891778945922852,orange: 0.7610647678375244,orange_juice: 0.8211371898651123,chips: 0.8188461661338806,banana: 0.8105882406234741,chocolate: 0.8534445762634277,kiwi: 0.8035861849784851,wine: 0.7170282006263733,orange_juice: 0.7899324893951416,kiwi: 0.7698987126350403,wine: 0.8083154559135437,chips: 0.823406994342804,coconut: 0.75438392162323,tomato: 0.833372175693512,chocolate: 0.8010082244873047,salsa: 0.7906919717788696,cereal: 0.7337878942489624,sake: 0.8348817825317383,wine: 0.748782753944397,squash: 0.7249230742454529,orange_juice: 0.08064381778240204,salsa: 0.8009141087532043,tomato: 0.8072962164878845,cola: 0.756960391998291,sake: 0.8721610903739929,bread: 0.8209079504013062,sake: 0.7906916737556458,chocolate: 0.8246875405311584,squash: 0.8394927382469177,lime_juice: 0.7564885020256042,water: 0.7885985970497131,chips: 0.7816691398620605,cucumber: 0.8457001447677612,cake: 0.7900536060333252,banana: 0.8273831605911255,chocolate: 0.7519807815551758,cucumber: 0.7719932794570923,orange_juice: 0.8844953775405884,water: 0.8032383322715759,artichoke: -0.21607403457164764,apricot: 0.7970017194747925,cereal: 0.8092612028121948,aperitif: 0.8242351412773132
8,cocoa: 0.8437612056732178,muesli: 0.8469325304031372,apricot: 0.7621113061904907,crackers: 0.7694317698478699,kiwi: 0.8233557939529419,chips: 0.8424112796783447,artichoke: 0.8124170899391174,apricot: 0.7833727598190308,apricot: 0.7575665712356567,chips: 0.8121734857559204,crackers: 0.8014496564865112,cake: 0.810248851776123,ketchup: 0.8504490852355957,pastry: 0.8035064935684204,coconut: 0.7131906151771545,aperitif: 0.7831594944000244,chocolate: 0.7636928558349609,orange_juice: 0.8056818246841431,banana: 0.8192830085754395,ketchup: 0.7533016204833984,orange_juice: 0.8313037157058716,squash: 0.7984071373939514,water: 0.789379894733429,apricot: 0.7335103750228882,water: 0.8313037157058716,mango: 0.7474508881568909,water: 0.7209020256996155,apple: 0.050717197358608246,orange: 0.7928813099861145,chocolate: 0.8059881925582886,cucumber: 0.7494789958000183,cake: 0.8615155816078186,aperitif: 0.8200845122337341,tomato: 0.7833611965179443,apricot: 0.8231881856918335,soy_sauce: 0.8366950154304504,soy_sauce: 0.756058931350708,cereal: 0.7792631983757019,muesli: 0.7760112881660461,wine: 0.8412114977836609,banana: 0.7777950763702393,apricot: 0.8246053457260132,cucumber: 0.734632670879364,onion: 0.7606732845306396,muesli: 0.8570024371147156,cereal: 0.7800265550613403,cereal: -0.2162495255470276,chips: 0.7907240986824036,apple: 0.8009141087532043,kiwi: 0.801256000995636
9,muesli: 0.8407071232795715,orange_juice: 0.8459128141403198,aperitif: 0.7617958784103394,peanut_butter: 0.7675356268882751,lime_juice: 0.8175160884857178,pastry: 0.8395000100135803,chocolate: 0.8079913258552551,coffee: 0.7792377471923828,cereal: 0.75282883644104,chocolate: 0.8120034337043762,banana: 0.8012799024581909,kiwi: 0.8078524470329285,soy_sauce: 0.8450515866279602,jelly: 0.7938920855522156,cereal: 0.7126899361610413,mango: 0.7804216146469116,orange_juice: 0.7633191347122192,tomato: 0.8051060438156128,sake: 0.8045889735221863,chips: 0.7517653107643127,kiwi: 0.8233967423439026,coconut: 0.7976660132408142,peanut_butter: 0.7814286947250366,onion: 0.7295089364051819,cake: 0.8303595781326294,orange_juice: 0.7446202635765076,pasta: 0.7186400890350342,bread: 0.047594405710697174,crackers: 0.7891778945922852,cucumber: 0.8048986196517944,coconut: 0.7446609139442444,water: 0.8352687358856201,cola: 0.8155304193496704,orange: 0.7808873057365417,corn: 0.8223472833633423,water: 0.833372175693512,wine: 0.7533537745475769,pasta: 0.778067409992218,jelly: 0.7719932794570923,mustard: 0.8401878476142883,cereal: 0.7763879895210266,coffee: 0.823406994342804,aperitif: 0.7273884415626526,crackers: 0.7605630159378052,brew: 0.8485065698623657,soy_sauce: 0.7787052989006042,onion: -0.2217826545238495,pasta: 0.780036449432373,lime_juice: 0.7906919717788696,mango: 0.7939791679382324
10,orange: 0.8246875405311584,sake: 0.8445193767547607,onion: 0.7586051821708679,cereal: 0.7671507000923157,cake: 0.7844628691673279,orange_juice: 0.8303595781326294,banana: 0.8054167628288269,liquor: 0.7741811275482178,crackers: 0.7504844665527344,salsa: 0.8092612028121948,potato_chips: 0.7991559505462646,orange_juice: 0.7907535433769226,coconut: 0.8445193767547607,corn: 0.7772468328475952,onion: 0.7027361989021301,banana: 0.7799162268638611,lime_juice: 0.7608281373977661,onion: 0.8039119839668274,orange_juice: 0.7927700877189636,water: 0.7457242012023926,orange: 0.8175221681594849,peanut_butter: 0.7976458072662354,beer: 0.7608281373977661,mustard: 0.7267044186592102,cereal: 0.8211371898651123,brew: 0.744602382183075,liquor: 0.7116954326629639,corn: 0.04418434575200081,peanut_butter: 0.7846857905387878,jelly: 0.8048473596572876,cereal: 0.7403639554977417,cereal: 0.8329929709434509,orange_juice: 0.8091809153556824,brew: 0.7804216146469116,water: 0.8175221681594849,lime_juice: 0.8236735463142395,water: 0.7467204332351685,wine: 0.7772468328475952,water: 0.7685539722442627,lime_juice: 0.8350788950920105,onion: 0.7710732817649841,muesli: 0.8188461661338806,mango: 0.7234227657318115,apple: 0.7596787214279175,cereal: 0.8447271585464478,banana: 0.7780465483665466,mango: -0.2569524347782135,aperitif: 0.7794113159179688,corn: 0.788875162601471,salsa: 0.7789813876152039
11,brew: 0.8137295246124268,cereal: 0.8343268036842346,chips: 0.7579317688941956,cucumber: 0.7606842517852783,mustard: 0.780036449432373,kiwi: 0.8301988840103149,wine: 0.8035064935684204,bread: 0.7694317698478699,mustard: 0.7490571141242981,water: 0.8002104759216309,water: 0.793041467666626,chocolate: 0.7845229506492615,tomato: 0.8433555364608765,sake: 0.7738706469535828,loaf: 0.7002177238464355,avocado: 0.7772409915924072,onion: 0.7534273862838745,banana: 0.7948960661888123,water: 0.7847777605056763,muesli: 0.732292652130127,mustard: 0.8153730034828186,lime_juice: 0.7966305017471313,mustard: 0.760089099407196,lime_juice: 0.7214717864990234,kiwi: 0.8091809153556824,onion: 0.7443328499794006,onion: 0.6972216963768005,crackers: 0.0416446216404438,apricot: 0.7781659364700317,corn: 0.8036293983459473,water: 0.7358611226081848,chips: 0.8273831605911255,liquor: 0.8078524470329285,banana: 0.7749085426330566,peanut_butter: 0.8104574084281921,artichoke: 0.822043240070343,cucumber: 0.7461769580841064,coffee: 0.7720749974250793,kiwi: 0.7684047818183899,ketchup: 0.8312433362007141,orange_juice: 0.7644948363304138,cereal: 0.8121734857559204,water: 0.7197114825248718,bread: 0.7551337480545044,cocoa: 0.8413070440292358,mustard: 0.7762855887413025,jelly: -0.2748897075653076,juice: 0.7792800068855286,water: 0.7858266234397888,ketchup: 0.7787052989006042
12,cereal: 0.8120034337043762,orange: 0.8343122005462646,peanut_butter: 0.749140202999115,muesli: 0.756010890007019,corn: 0.778067409992218,coffee: 0.8294702768325806,peanut_butter: 0.7992392182350159,banana: 0.7688544988632202,chocolate: 0.7447101473808289,juice: 0.7946889400482178,sake: 0.7787007093429565,crackers: 0.7741811275482178,orange: 0.8426413536071777,water: 0.7711080312728882,mango: 0.6987430453300476,sake: 0.769392192363739,corn: 0.7490105628967285,mango: 0.7933986783027649,crackers: 0.7792377471923828,tomato: 0.7234074473381042,cake: 0.8152827024459839,cereal: 0.7946889400482178,artichoke: 0.7564885020256042,artichoke: 0.7142588496208191,apricot: 0.8081852793693542,mustard: 0.740986168384552,chips: 0.694819450378418,coke: 0.035051923245191574,avocado: 0.7741520404815674,brew: 0.8031498789787292,artichoke: 0.734416663646698,coffee: 0.8192830085754395,wine: 0.8035861849784851,onion: 0.7697516679763794,tomato: 0.8046189546585083,ketchup: 0.8205901384353638,liquor: 0.7401953935623169,kiwi: 0.7720499634742737,soy_sauce: 0.7648334503173828,kiwi: 0.8218831419944763,liquor: 0.7601096630096436,water: 0.8064501285552979,brew: 0.7161774635314941,sake: 0.751192569732666,aperitif: 0.8403618931770325,corn: 0.7701216340065002,soy_sauce: -0.28388023376464844,orange: 0.778076171875,sake: 0.7856192588806152,banana: 0.7743741869926453
13,pastry: 0.8079913258552551,chips: 0.830299437046051,bread: 0.7476563453674316,squash: 0.7553500533103943,beer: 0.7752110958099365,water: 0.8152827024459839,cider: 0.7990180850028992,salsa: 0.7684206962585449,chips: 0.7412224411964417,pastry: 0.7860982418060303,cucumber: 0.7760112881660461,pastry: 0.7713888883590698,pastry: 0.8391237854957581,orange: 0.7650696635246277,kiwi: 0.6940001249313354,tomato: 0.7660325169563293,peanut_butter: 0.7458508610725403,brew: 0.7831594944000244,orange: 0.7770836353302002,pasta: 0.7228749394416809,chips: 0.8064501285552979,beer: 0.7925028204917908,aperitif: 0.7523461580276489,juice: 0.7140435576438904,aperitif: 0.8056818246841431,aperitif: 0.7404031753540039,salsa: 0.6894619464874268,pastry: 0.030245648697018623,chocolate: 0.7728855013847351,mustard: 0.7970017194747925,tomato: 0.7304101586341858,liquor: 0.8105882406234741,soy_sauce: 0.801256000995636,pastry: 0.7558056116104126,apple: 0.7928813099861145,salsa: 0.8194814920425415,cereal: 0.736662745475769,ketchup: 0.7701216340065002,bread: 0.7606842517852783,salsa: 0.8126806616783142,ketchup: 0.7595394849777222,potato_chips: 0.7962207198143005,apricot: 0.7159340381622314,cider: 0.7434723973274231,mango: 0.8367466926574707,grape_juice: 0.7699824571609497,tomato: -0.2873970866203308,ketchup: 0.7762855887413025,soy_sauce: 0.7789813876152039,cola: 0.7737119197845459
14,apricot: 0.8059881925582886,aperitif: 0.8257905840873718,chocolate: 0.7467743158340454,jelly: 0.7551337480545044,peanut_butter: 0.7693058848381042,bread: 0.8137134313583374,onion: 0.7964860796928406,tomato: 0.7676793932914734,muesli: 0.7388878464698792,ketchup: 0.7800265550613403,pastry: 0.7731471657752991,cereal: 0.7608034014701843,lime_juice: 0.8377353549003601,juice: 0.7636328935623169,water: 0.6920667886734009,cereal: 0.7492101788520813,banana: 0.7437059283256531,mustard: 0.7794113159179688,juice: 0.7746297121047974,kiwi: 0.7143390774726868,juice: 0.80638188123703,chips: 0.7888074517250061,coffee: 0.7457953095436096,salsa: 0.7108604311943054,tomato: 0.7963235378265381,coffee: 0.7363336682319641,grape_juice: 0.6886991262435913,tomato: 0.019154133275151253,orange_juice: 0.7612361907958984,coconut: 0.791181206703186,jelly: 0.7300234436988831,pastry: 0.8054167628288269,peanut_butter: 0.7985732555389404,cucumber: 0.7504721283912659,mango: 0.7808873057365417,mustard: 0.8151185512542725,avocado: 0.734416663646698,pastry: 0.7650391459465027,mango: 0.7504721283912659,aperitif: 0.8039119839668274,peanut_butter: 0.7595199346542358,mustard: 0.7907240986824036,lime_juice: 0.7136428356170654,orange: 0.7427672743797302,water: 0.8359381556510925,squash: 0.7595394849777222,coconut: -0.2931581139564514,orange_juice: 0.7746537923812866,crackers: 0.7684206962585449,peanut_butter: 0.7720960974693298
15,juice: 0.8010082244873047,apple: 0.8098651170730591,coconut: 0.7467148303985596,chips: 0.7536154389381409,coffee: 0.7643738389015198,liquor: 0.810248851776123,cereal: 0.7860982418060303,loaf: 0.765414297580719,ketchup: 0.7324591279029846,corn: 0.7792631983757019,aperitif: 0.7615483999252319,squash: 0.7601096630096436,liquor: 0.8375657200813293,cereal: 0.7605222463607788,pasta: 0.6800098419189453,muesli: 0.7472295761108398,orange: 0.7430824041366577,pastry: 0.7639281153678894,apricot: 0.7729913592338562,banana: 0.7072563767433167,ketchup: 0.8032383322715759,mustard: 0.7792800068855286,cake: 0.7451797723770142,soy_sauce: 0.705240786075592,cocoa: 0.7953119277954102,corn: 0.7310216426849365,kiwi: 0.671107828617096,potato_chips: -0.0017976080998778343,cake: 0.7604517340660095,bread: 0.790374219417572,onion: 0.7244387865066528,muesli: 0.8012799024581909,chocolate: 0.7980060577392578,cereal: 0.748346745967865,mustard: 0.778076171875,cola: 0.8091932535171509,mustard: 0.733120858669281,artichoke: 0.7618323564529419,avocado: 0.7494789958000183,pastry: 0.7964860796928406,bread: 0.7553500533103943,juice: 0.7888074517250061,tomato: 0.7124729156494141,liquor: 0.7381608486175537,apricot: 0.8217081427574158,juice: 0.7585286498069763,cola: -0.29551374912261963,banana: 0.7659704685211182,banana: 0.7662739753723145,cereal: 0.7696599364280701
